Formula,Herb,Amount
厚朴七物汤,厚朴,250.0
厚朴七物汤,甘草,90.0
厚朴七物汤,大黄,90.0
厚朴七物汤,大枣,50.0
厚朴七物汤,枳实,25.0
厚朴七物汤,桂枝,60.0
厚朴七物汤,生姜,150.0
桂枝人参汤,桂枝,120.0
桂枝人参汤,甘草,120.0
桂枝人参汤,白术,90.0
桂枝人参汤,人参,90.0
桂枝人参汤,干姜,90.0
乌头桂枝汤,乌头,25.0
乌头桂枝汤,桂枝,90.0
乌头桂枝汤,芍药,90.0
乌头桂枝汤,甘草,60.0
乌头桂枝汤,生姜,90.0
乌头桂枝汤,大枣,20.0
麻黄连翘赤小豆汤,麻黄,60.0
麻黄连翘赤小豆汤,连翘,60.0
麻黄连翘赤小豆汤,杏仁皮尖,200.0
麻黄连翘赤小豆汤,赤小豆,24.0
麻黄连翘赤小豆汤,大枣,20.0
麻黄连翘赤小豆汤,生梓白皮,24.0
麻黄连翘赤小豆汤,生姜,60.0
麻黄连翘赤小豆汤,甘草,60.0
文蛤汤,文蛤,150.0
文蛤汤,麻黄,90.0
文蛤汤,甘草,90.0
文蛤汤,生姜,90.0
文蛤汤,石膏,150.0
文蛤汤,杏仁,250.0
文蛤汤,大枣,20.0
柴胡桂枝汤,桂枝,15.0
柴胡桂枝汤,黄芩,15.0
柴胡桂枝汤,芍药,15.0
柴胡桂枝汤,人参,15.0
柴胡桂枝汤,甘草,30.0
柴胡桂枝汤,半夏,3.0
柴胡桂枝汤,大枣,20.0
柴胡桂枝汤,生姜,15.0
柴胡桂枝汤,柴胡,120.0
一物瓜蒂散,瓜蒂,100.0
文蛤散,文蛤,150.0
黄芪芍药桂枝苦酒汤,黄芪,150.0
黄芪芍药桂枝苦酒汤,芍药,90.0
黄芪芍药桂枝苦酒汤,桂枝,90.0
白虎加桂枝汤,知母,180.0
白虎加桂枝汤,石膏,500.0
白虎加桂枝汤,甘草,60.0
白虎加桂枝汤,粳米,18.0
白虎加桂枝汤,桂枝,90.0
麻黄杏仁薏苡甘草汤,麻黄,15.0
麻黄杏仁薏苡甘草汤,杏仁,5.0
麻黄杏仁薏苡甘草汤,薏苡仁,15.0
麻黄杏仁薏苡甘草汤,甘草,30.0
麻黄加术汤,麻黄,90.0
麻黄加术汤,桂枝,60.0
麻黄加术汤,甘草,30.0
